Unnamed: 0,OBJECTID,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstPKW,IstKrad,IstGkfz,IstFuss,IstSonstige,lat,lon,alone,not_alone,UTYP2,weekend
858,197805,2,9,3,3,5,3,0,0,1,0,0,0,0,52.552414293955486,13.427404066531384,0,1,2,0
859,197806,2,15,2,3,2,2,0,0,1,0,0,0,0,52.429009169033726,13.460189202380947,0,1,2,0
860,197819,2,16,2,3,5,3,0,0,1,0,0,0,0,52.62904434019304,13.435166106908856,0,1,2,0
861,197820,2,16,2,3,5,7,0,0,1,0,0,0,0,52.51012005215853,13.297997373847801,0,1,7,0
862,197823,2,16,3,2,5,2,0,2,1,0,0,0,0,52.47872665366597,13.332785887771376,0,1,2,0
863,197825,2,15,2,3,5,2,0,0,1,0,0,0,0,52.42214563189829,13.384633472240974,0,1,2,0
864,197828,2,14,2,3,6,4,0,0,0,0,0,1,0,52.43847140376604,13.344081288080751,0,1,4,0
865,197829,2,11,2,3,0,3,0,0,0,0,0,0,1,52.44828292609042,13.364063093510596,0,1,2,0
866,197831,2,15,2,2,5,2,0,0,0,0,1,0,0,52.59213448647579,13.326504656946454,0,1,2,0
867,197836,2,11,3,3,5,3,0,0,1,0,0,0,0,52.45983661148196,13.366517217452442,0,1,2,0
868,197845,2,15,2,3,5,3,0,0,1,0,0,0,0,52.49439758123609,13.440731675328035,0,1,2,0
869,197850,2,10,2,3,5,3,0,1,1,0,0,0,0,52.49608513531536,13.405415971932259,0,1,2,0
870,197851,2,14,1,3,0,1,0,1,0,0,0,0,0,52.49901198912942,13.417319542148435,1,0,1,1
871,197855,2,6,2,3,5,2,2,1,1,0,0,0,0,52.53173012217077,13.197474171673546,0,1,2,0
872,197859,2,12,5,3,5,2,0,0,1,0,0,0,0,52.56180893671913,13.326059270501226,0,1,2,0
873,197860,2,7,6,3,5,3,1,1,1,0,0,0,0,52.52057483327223,13.341405363509354,0,1,2,0
874,197864,2,18,2,3,3,6,2,1,1,0,0,0,0,52.48080982657448,13.442086538838687,0,1,6,0
875,197872,2,16,3,3,6,7,0,0,0,0,0,1,0,52.47213592022299,13.293371702872994,0,1,7,0
876,197883,2,9,1,3,5,2,0,0,1,0,0,0,0,52.48654316863831,13.32269169485764,0,1,2,1
877,197887,2,18,7,3,6,4,2,0,0,0,0,1,0,52.49131836432243,13.414809965709074,0,1,4,1
878,197892,2,12,7,3,5,5,0,1,1,0,0,0,0,52.514254511341285,13.384830182182474,0,1,5,1
879,197895,2,9,6,3,5,2,0,0,0,0,1,0,0,52.488904160508405,13.453909850254991,0,1,2,0
880,197899,2,18,7,3,5,2,2,0,1,0,0,0,0,52.511157482040225,13.401215299601395,0,1,2,1
881,197903,2,16,6,3,1,5,0,0,1,0,0,0,0,52.5001680959021,13.418492173914833,0,1,5,0
882,197904,2,20,6,3,0,7,1,1,1,0,0,0,0,52.53537028947976,13.428237230812366,0,1,7,0
883,197906,2,22,5,2,5,3,2,1,1,0,0,0,0,52.51231223091045,13.489675467851484,0,1,2,0
884,197917,2,0,4,3,0,1,2,0,0,0,0,0,0,52.483928414450105,13.39465534234165,1,0,1,0
885,197918,2,9,6,3,5,2,0,0,0,0,0,0,1,52.532689902453896,13.519077530764545,0,1,2,0
886,197919,2,19,6,3,5,3,2,1,1,0,0,0,0,52.49525008554071,13.366081170589867,0,1,2,0
887,197921,2,19,6,3,5,2,2,1,1,0,0,0,0,52.52624502208937,13.342945548167865,0,1,2,0
888,197924,2,16,4,3,5,3,0,0,1,0,0,0,0,52.52917898546035,13.566409735476315,0,1,2,0
889,197925,2,9,6,3,5,3,0,0,1,0,0,0,0,52.500940169573795,13.4115367763835,0,1,2,0
890,197926,2,15,5,3,0,2,0,0,0,0,0,0,1,52.538655707277925,13.481211409953945,0,1,2,0
891,197928,2,16,5,3,5,2,0,0,1,0,0,0,0,52.465047267784044,13.44282180512017,0,1,2,0
892,197930,2,17,5,3,5,3,1,0,1,0,0,0,0,52.52877346048988,13.569548599121287,0,1,2,0
893,197936,2,8,4,3,2,6,0,0,1,0,0,0,0,52.514860878299025,13.306677330451956,0,0,6,0
894,197937,2,8,2,3,5,3,0,2,1,0,0,0,0,52.423970891025,13.332984795045006,0,1,2,0
895,197940,2,14,4,3,5,2,0,0,1,0,0,0,0,52.51840349473119,13.45245523436022,0,1,2,0
896,197947,2,13,5,3,5,2,0,0,1,0,0,0,0,52.5082512227114,13.328142102884774,0,1,2,0
897,197952,2,13,1,3,5,2,0,0,1,0,0,0,0,52.49999054620877,13.465908926940582,0,1,2,1
898,197953,2,6,4,3,5,3,1,0,1,0,0,0,0,52.44042842592879,13.459090371748276,0,1,2,0
899,197955,2,11,4,3,1,5,0,0,0,0,1,0,0,52.519065881774395,13.454623491835553,0,1,5,0
900,197958,2,7,3,3,1,5,0,0,1,0,0,0,0,52.488338113351105,13.449195906656106,0,1,5,0
901,197959,2,9,4,3,5,2,0,0,1,0,0,0,0,52.52900051870986,13.403073331602792,0,1,2,0
902,197961,2,17,4,3,0,7,2,0,0,0,0,0,0,52.5815320022163,13.41194226276645,1,0,7,0
903,197962,2,15,3,3,5,2,0,0,1,0,0,0,0,52.50786682959434,13.404474808507748,0,1,2,0
904,197963,2,16,4,3,6,4,0,0,0,0,0,1,0,52.51148279635596,13.407149710609849,0,1,4,0
905,197966,2,14,4,3,2,6,0,0,1,0,0,0,0,52.506430124241895,13.469753220274994,0,0,6,0
906,197968,2,14,4,3,2,6,0,0,1,0,0,0,0,52.467422046319186,13.440351743296587,0,1,6,0
907,197976,2,11,4,2,5,3,0,0,1,0,0,0,0,52.47542268668376,13.33262602223831,0,1,2,0
908,197981,2,17,2,3,5,3,1,0,1,0,0,0,0,52.43017242917488,13.477618047329855,0,1,2,0
909,197988,2,13,3,3,5,2,0,0,0,0,0,0,1,52.47468256007232,13.361841548681605,0,1,2,0
910,197997,2,9,2,3,1,5,0,0,1,0,0,0,0,52.51973809698266,13.194045867854312,0,1,5,0
911,198001,2,14,5,3,5,2,0,0,1,0,0,0,0,52.59540852718649,13.332807770270055,0,1,2,0
